theme  pair                  fg       bg       ratio  AA
-----  --------------------  -------  -------  -----  ----
light  text/canvas           #18201d  #f7f7f2  15.47  PASS
light  text/surface          #18201d  #ffffff  16.62  PASS
light  muted/canvas          #5f6b66  #f7f7f2  5.17   PASS
light  muted/surface         #5f6b66  #ffffff  5.55   PASS
light  accent/canvas         #126e5a  #f7f7f2  5.74   PASS
light  accent/surface        #126e5a  #ffffff  6.17   PASS
light  accent-strong/canvas  #0a5646  #f7f7f2  8.03   PASS
light  accent-invert/accent  #ffffff  #126e5a  6.17   PASS
light  success/canvas        #176b4d  #f7f7f2  6.02   PASS
light  success/success-low   #176b4d  #e4f3ec  5.65   PASS
light  warning/canvas        #76520a  #f7f7f2  6.55   PASS
light  warning/warning-low   #76520a  #f8ebcb  5.95   PASS
light  danger/canvas         #a33a3a  #f7f7f2  6.06   PASS
light  danger/danger-low     #a33a3a  #fbe8e8  5.52   PASS
dark   text/canvas           #f1f5f0  #101512  16.75  PASS
dark   text/surface          #f1f5f0  #171d19  15.54  PASS
dark   muted/canvas          #aab6af  #101512  8.80   PASS
dark   muted/surface         #aab6af  #171d19  8.17   PASS
dark   accent/canvas         #63d5b0  #101512  10.26  PASS
dark   accent/surface        #63d5b0  #171d19  9.52   PASS
dark   accent-strong/canvas  #8be4c4  #101512  12.30  PASS
dark   accent-invert/accent  #101512  #63d5b0  10.26  PASS
dark   success/canvas        #70d7ad  #101512  10.56  PASS
dark   success/success-low   #70d7ad  #173128  7.97   PASS
dark   warning/canvas        #e8c36a  #101512  10.94  PASS
dark   warning/warning-low   #e8c36a  #342b17  8.28   PASS
dark   danger/canvas         #ff9a9a  #101512  9.09   PASS
dark   danger/danger-low     #ff9a9a  #3b1e1e  7.44   PASS
light  text/inline-code      #18201d  #ecefe9  14.32  PASS
dark   text/inline-code      #f1f5f0  #233029  12.49  PASS

Verdict: PASS (30/30 pairs at or above 4.5:1; the 28 recorded rows also agree to 2 decimals)
